Titolo;DOI
Intelligent driver monitoring system: An Internet of Things-based system for tracking and identifying the driving behavior;https://doi.org/10.1016/j.csi.2022.103704
Vehicles driving behavior recognition based on transfer learning;https://doi.org/10.1016/j.eswa.2022.119254
A Review on Existing Technologies for the Identification and Measurement of Abnormal Driving;https://doi.org/10.1007/s13177-023-00343-7
Real-time detection of abnormal driving behavior based on long short-term memory network and regression residuals;https://doi.org/10.1016/j.trc.2022.103983
Deep Reinforcement Learning Based PHEV Energy Management With Co-Recognition for Traffic Condition and Driving Style;10.1109/TIV.2023.3235110
Impact Evaluation of Driving Style on Electric Vehicle Battery based on Field Testing Result;10.1109/CCNC51644.2023.10060822
Driver Maneuver Detection and Analysis Using Time Series Segmentation and Classification;https://doi.org/10.1061/JTEPBS.TEENG-7312
Driver Profile and Driving Pattern Recognition for Road Safety Assessment: Main Challenges and Future Directions;10.1109/OJITS.2023.3237177
Feature selection for driving style and skill clustering using naturalistic driving data and driving behavior questionnaire;https://doi.org/10.1016/j.aap.2023.107022
Kernelized convolutional transformer network based driver behavior estimation for conflict resolution at unsignalized roundabout;https://doi.org/10.1016/j.isatra.2022.07.004
DSDCLA: driving style detection via hybrid CNN-LSTM with multi-level attention fusion;https://doi.org/10.1007/s10489-023-04451-5
;
